Playback,UnitQuaternion.z,UnitQuaternion.y,UnitQuaternion.x,UnitQuaternion.w
0.25516599999997425,-0.00200899,0.7878219,-0.04563328,0.614207
0.2634980000000269,-0.00406978,0.7880464,-0.04364035,0.6140537
0.2718290000000252,-0.00589424,0.7881179,-0.04147425,0.6140972
0.280161000000021,-0.0073239,0.7881629,-0.03952888,0.6141523
0.2884920000000193,-0.0082698,0.7881464,-0.03818557,0.6142465
0.2968240000000151,-0.00899668,0.7881528,-0.03709213,0.6142951
0.3051550000000134,-0.00963269,0.7881683,-0.03610238,0.6143244
0.3134870000000092,-0.01042205,0.7881674,-0.03483281,0.6143861
0.32181900000000496,-0.01144701,0.7881437,-0.03313133,0.6144924
0.3301500000000033,-0.01306335,0.7882249,-0.0303343,0.6145003
0.33848199999999906,-0.01473095,0.7883307,-0.02807089,0.6144345
0.3468129999999974,-0.01634401,0.7885733,-0.02630142,0.6141607
0.35514499999999316,-0.01753758,0.7887334,-0.02510749,0.6139721
0.3634759999999915,-0.01803166,0.7888119,-0.02481878,0.6138687
0.37180799999998726,-0.01851858,0.7888893,-0.02453936,0.6137658
0.38013899999998557,-0.01900545,0.7889665,-0.02425997,0.6136628
0.38847099999998136,-0.01972159,0.7890922,-0.02384902,0.6134949
0.39680199999997967,-0.02183073,0.789509,-0.02271323,0.6129299
0.40513399999997546,-0.02353235,0.7898588,-0.02203806,0.6124407
0.41346499999997377,-0.02548489,0.7903649,-0.02148369,0.6117291
0.4217970000000264,-0.02669505,0.7906456,-0.02110708,0.6113276
0.4301280000000247,-0.02750669,0.7908608,-0.0210017,0.6110168
0.4384600000000205,-0.02831964,0.7910759,-0.02089603,0.6107048
0.4467910000000188,-0.03014238,0.7916051,-0.02059432,0.6099415
0.4551230000000146,-0.03151188,0.7921537,-0.02090831,0.6091488
0.4634540000000129,-0.0330768,0.7928296,-0.02179216,0.6081548
0.4717860000000087,-0.03447349,0.7933456,-0.02250676,0.6073778
0.480117000000007,-0.03629839,0.7940264,-0.02324367,0.6063533
0.4884490000000028,-0.03726347,0.7943871,-0.02351439,0.6058115
0.4967809999999986,-0.03798977,0.7946571,-0.02367418,0.6054061
0.5051119999999969,-0.03917918,0.7951208,-0.02377738,0.6047169
0.5134439999999927,-0.04071252,0.7957502,-0.02387808,0.6037831
0.521774999999991,-0.0421711,0.7963208,-0.02394521,0.6029273
0.5301069999999868,-0.04365696,0.7968022,-0.02394215,0.6021854
0.5384379999999851,-0.04505539,0.7972025,-0.02393735,0.6015523
0.5467699999999809,-0.04623901,0.7975537,-0.0238989,0.6009983
0.5551009999999792,-0.04715157,0.7978748,-0.02382966,0.6005037
0.563432999999975,-0.04792565,0.7980795,-0.02381626,0.6001709
0.5717639999999733,-0.04864454,0.7982376,-0.02382505,0.5999023
0.5800960000000259,-0.04963303,0.7984293,-0.02365548,0.599573
0.5884270000000242,-0.05105234,0.7986671,-0.02323887,0.5991531
0.59675900000002,-0.05311821,0.7989439,-0.02259585,0.5986289
0.6050900000000183,-0.0550667,0.7991627,-0.02166555,0.598195
0.6134220000000141,-0.05671477,0.7992697,-0.02063172,0.5979344
0.6217530000000124,-0.05819063,0.7993104,-0.01978045,0.5977671
0.6300850000000082,-0.0591577,0.7992794,-0.01892709,0.5977413
0.6384160000000065,-0.06005455,0.7992375,-0.01807353,0.5977343
0.6467480000000023,-0.06127575,0.7991861,-0.01676624,0.5977172
0.6550799999999981,-0.06275186,0.7991257,-0.01511002,0.597689
0.6634109999999964,-0.06578401,0.7991176,-0.01231068,0.5974379
0.6717429999999922,-0.06943322,0.799081,-0.00910903,0.5971312
0.6800739999999905,-0.07296321,0.7989804,-0.00627939,0.5968813
0.6884059999999863,-0.07595391,0.798832,-0.0039675,0.5967266
0.6967369999999846,-0.07775732,0.7986969,-0.00258328,0.5966828
0.7050689999999804,-0.07951868,0.7985585,-0.00123161,0.5966403
0.7133999999999787,-0.08202911,0.798355,0.00071064,0.5965735
0.7217319999999745,-0.0857449,0.798048,0.00361392,0.5964513
0.7300629999999728,-0.09058034,0.7977409,0.00765952,0.596109
0.7383950000000254,-0.09465552,0.7974845,0.01161805,0.5957549
0.7467260000000238,-0.09800194,0.797288,0.01498522,0.5954015
0.7550580000000195,-0.100287,0.7971455,0.01732676,0.5951481
0.7633890000000179,-0.1014931,0.7970489,0.0184707,0.5950388
0.7717460000000074,-0.1026242,0.7969537,0.01953097,0.5949383
0.780052000000012,-0.1037482,0.7968572,0.02058473,0.5948371
0.788359000000014,-0.1061567,0.796702,0.02263187,0.5945457
0.7966650000000186,-0.1090182,0.7965049,0.02497601,0.594198
0.8049720000000207,-0.1126089,0.7962214,0.02771584,0.5937865
0.8132780000000253,-0.1169543,0.7958542,0.03079401,0.593287
0.8215850000000273,-0.1206427,0.795592,0.03339189,0.5927594
0.8298919999999725,-0.1229575,0.7954816,0.0349733,0.5923406
0.8381979999999771,-0.1254422,0.7953536,0.03668089,0.5918881
0.8465299999999729,-0.1303409,0.7950563,0.04017251,0.5910016
0.8548610000000281,-0.1348004,0.794916,0.04327769,0.5899699
0.8631930000000239,-0.1399602,0.7949953,0.04641354,0.5884212
0.8715240000000222,-0.1440037,0.7953214,0.04865175,0.5868218
0.879856000000018,-0.1488463,0.7958113,0.05113267,0.5847346
0.8881870000000163,-0.1517539,0.7961777,0.052531,0.5833629
0.8965190000000121,-0.1536032,0.7964076,0.05348688,0.5824776
0.9048500000000104,-0.1553006,0.7966154,0.0543793,0.58166
0.9131820000000062,-0.1577549,0.7969053,0.05556192,0.5804897
0.9215130000000045,-0.1616101,0.7973823,0.057158,0.5786161
0.9298450000000003,-0.1666383,0.7982442,0.05825127,0.5758859
0.9381759999999986,-0.1713251,0.7990545,0.05830573,0.573376
0.9465079999999944,-0.1750488,0.7996511,0.05766636,0.571481
0.9548389999999927,-0.1780368,0.8000748,0.05714181,0.5700159
0.9631709999999885,-0.1804081,0.8003284,0.05649616,0.5689777
0.9715019999999868,-0.1826751,0.8005496,0.05583008,0.5680081
0.9798339999999826,-0.1861274,0.8006909,0.05498227,0.5667694
0.9881659999999783,-0.1910171,0.8007533,0.05399479,0.5651471
0.9965220000000272,-0.1974301,0.8005465,0.05306591,0.5633211
1.004854000000023,-0.2033899,0.8001035,0.05249067,0.5618822
1.0131850000000213,-0.2084892,0.7996097,0.05229005,0.5607337
1.021517000000017,-0.2127411,0.7990863,0.05236769,0.559875
1.0298480000000154,-0.2156592,0.7987368,0.0525945,0.5592358
1.0381800000000112,-0.2183509,0.7984122,0.05284628,0.5586305
1.0465110000000095,-0.2220533,0.7978705,0.05337957,0.5578939
1.0548430000000053,-0.2271641,0.7970213,0.05435537,0.556955
1.0631740000000036,-0.235059,0.7955706,0.05672818,0.5555148
1.0715059999999994,-0.2425137,0.7940794,0.05946739,0.5541558
1.0798369999999977,-0.2500255,0.7924039,0.06286307,0.5528394
1.0881689999999935,-0.2547771,0.7913202,0.0652059,0.5519503
1.0964999999999918,-0.2577318,0.7905569,0.06699521,0.5514578
1.1048319999999876,-0.2605087,0.7898175,0.06873002,0.5509989
1.113162999999986,-0.2641065,0.7888771,0.07106509,0.5503367
1.1214949999999817,-0.2690006,0.7876053,0.07436198,0.5493514
1.12982599999998,-0.2756931,0.7857338,0.07935951,0.5480126
1.1381579999999758,-0.2821488,0.7839262,0.08454874,0.5465375
1.1464889999999741,-0.2876724,0.7822129,0.0896803,0.5452935
1.1548460000000205,-0.2890645,0.7817557,0.09108285,0.5449805
1.1631780000000163,-0.2904511,0.7812966,0.09248082,0.5446662
1.1715090000000146,-0.2918364,0.7808341,0.09387822,0.5443496
1.1798410000000104,-0.2948727,0.779782,0.09717318,0.5436428
1.1881720000000087,-0.2999819,0.7779377,0.1029348,0.5424281
1.1965040000000045,-0.305768,0.7758068,0.1095851,0.5409443
1.2048350000000028,-0.3113874,0.7737989,0.1161846,0.5392349
1.2131919999999923,-0.3173667,0.7717049,0.123585,0.5371001
1.2215229999999906,-0.3219935,0.7700904,0.1294609,0.5352764
1.2298549999999864,-0.3256549,0.7688163,0.1342954,0.5336995
1.2381859999999847,-0.3290997,0.7676377,0.1388687,0.5321103
1.2465179999999805,-0.3325429,0.7664635,0.1433779,0.5304638
1.2548489999999788,-0.3362512,0.7652003,0.1480827,0.5286542
1.2631809999999746,-0.340641,0.7636204,0.1540134,0.526429
1.2715119999999729,-0.3444995,0.7622045,0.1594561,0.5243455
1.2798440000000255,-0.3475373,0.761018,0.1645951,0.5224729
1.2881750000000238,-0.3490177,0.7603917,0.1675863,0.521446
